,adobe-source-han-sans-jp-fonts
,alacritty
,arandr
,arc-icon-theme
,bash-completion
,bat
,bc
,bluez
,bluez-utils
,blueman
,bmon
,dark-reader
,dosfstools
,dunst
,emacs
,exa
,exfat-utils
,fd
,ffmpeg
,ffmpegthumbnailer
,fzf
,galculator
,gimp
,gparted
,gtk4
,highlight
,htop
,hunspell
,hunspell-en_us
,kdenlive
,kvantum
,libnotify
,lxappearance
,lynx
,man-db
,man-pages
,mediainfo
,mpv
,neovim
,net-tools
,networkmanager-openvpn
,noto-fonts
,noto-fonts-emoji
,ntfs-3g
,numlockx
,obs-studio
,openbsd-netcat
,pamixer
,pavucontrol
,pulsemixer
,qt5ct
,reflector
,ripgrep
,scrot
,shellcheck
,sxiv
,telegram-desktop
,tff-jetbrains-mono
,thunar
,thunar-volman
,traceroute
,ttf-dejavu
,ttf-ubuntu-font-family
,tumbler
,ueberzug
,unclutter
,unzip
,vidir
,virtualbox
,virtualbox-host-dkms
,wget
,wimlib
,xclip
,xcolor
,xcompmgr
,xf86-input-synaptics
,xf86-video-intel
,xf86-video-nouveau
,xorg-server
,xorg-xbacklight
,xorg-xinit
,xorg-xprop
,xterm
,xwallpaper
,youtube-dl
,zathura
,zathura-pdf-mupdf
,zsh-autosuggestions
A,7-zip
A,brave-bin
A,dashbinsh
A,dracula-gtk-theme-git
A,lf-git
A,ms-sys-devel
A,nerd-fonts-mononoki
A,ttf-mononoki-git
A,unrar-free
A,vazirmatn-fonts
A,zsh-fast-syntax-highlighting-git
G,https://github.com/mamizaxyz/dmenu.git
G,https://github.com/mamizaxyz/dwm.git
G,https://github.com/mamizaxyz/dwmblocks.git
G,https://github.com/mamizaxyz/xmenu.git
